"species" "uvalue"
"158" "Campanula rotundifolia" -0.1242
"159" "Campanula spec." NA
"160" "Campanula trachelium" -0.5113
"161" "Capsella bursa-pastoris" NA
"162" "Cardamine amara" -0.4316
"163" "Cardamine bulbifera" -0.0975
"164" "Cardamine enneaphyllos" 0.0909
"165" "Cardamine flexuosa" 0.3277
"166" "Cardamine glanduligera" -0.1373
"167" "Cardamine impatiens" 0.4877
"168" "Cardamine kitaibelii" NA
"169" "Cardamine pratensis" 0.242
"170" "Cardamine spec." NA
"171" "Cardamine trifolia" -0.0766
"172" "Cardamine waldsteinii" NA
"173" "Carduus acanthoides" NA
"174" "Carduus collinus" NA
"175" "Carduus crispus" NA
"176" "Carduus defloratus" NA
"177" "Carduus spec." NA
"178" "Carex acuta" NA
"179" "Carex acutiformis" 0.0811
"180" "Carex alba" -0.1322
"181" "Carex arenaria" NA
"182" "Carex brevicollis" NA
"183" "Carex brizoides" -0.0541
"184" "Carex canescens" 0.3039
"185" "Carex caryophyllea" -0.0588
"186" "Carex cespitosa" NA
"187" "Carex depauperata" NA
"188" "Carex digitata" -0.2612
"189" "Carex divulsa" 0.4386
"190" "Carex echinata" NA
"191" "Carex elata" -0.1287
"192" "Carex elongata" 0.3368
"193" "Carex filiformis" NA
"194" "Carex flacca" -0.032
"195" "Carex flava" NA
"196" "Carex fritschii" NA
"197" "Carex halleriana" NA
"198" "Carex hartmanii" NA
"199" "Carex hirta" -0.0349
"200" "Carex humilis" 0.0273
"201" "Carex lasiocarpa" NA
"202" "Carex leporina" NA
"203" "Carex limosa" NA
"204" "Carex liparocarpos" NA
"205" "Carex michelii" -0.2955
"206" "Carex montana" -0.358
"207" "Carex muricata" 0.0529
"208" "Carex nigra" 0.3862
"209" "Carex ornithopoda" NA
"210" "Carex pallescens" 0.4111
"211" "Carex panicea" NA
"212" "Carex paniculata" NA
"213" "Carex pendula" 0.5678
"214" "Carex pilosa" -0.0738
"215" "Carex pilulifera" 0.0802
"216" "Carex praecox" 0.0987
"217" "Carex pseudobrizoides" NA
"218" "Carex pseudocyperus" NA
"219" "Carex remota" 0.2728
"220" "Carex riparia" NA
"221" "Carex rostrata" NA
"222" "Carex spec." 0.0027
"223" "Carex spicata" NA
"224" "Carex strigosa" NA
"225" "Carex supina" NA
"226" "Carex sylvatica" 0.0706
"227" "Carex vesicaria" 0.6
"228" "Carex vulpina" NA
"229" "Carlina acaulis" NA
