"species_id" "family2"
"12620" "6vL_CxZ" "Polygonaceae"
"12628" "cYK_uNx" "Rosaceae"
"13359" "D8T_TLZ" "Caryophyllaceae"
"13362" "a6q_6Hm" "Salicaceae"
"13363" "AkS_oPw" "Asteraceae"
"13364" "QM7_Eki" "Asteraceae"
"13382" "gNl_tI6" "Violaceae"
"13412" "VCE_kLx" "Plantaginaceae"
"13420" "9Ql_URG" "Solanaceae"
"13462" "vCn_njk" "Asteraceae"
"13483" "gef_u0E" "Poaceae"
"13732" "Uiz_6kI" "Betulaceae"
"17527" "3yD_Erp" "Asteraceae"
"17528" "jrZ_Erp" "Plantaginaceae"
"17529" "f5U_yXo" "Asteraceae"
"17534" "3CA_PXH" "Lamiaceae"
"17586" "qiG_szv" "Asteraceae"
"17591" "UtY_0or" "Asparagaceae"
"17625" "Tl5_AlR" "Asparagaceae"
"18557" "QKr_Ew5" "Polygonaceae"
"18567" "B0s_SN3" "Scrophulariaceae"
"18568" "Ogg_h79" "Campanulaceae"
"18577" "LKT_LSf" "Rubiaceae"
"18607" "eoQ_n3M" "Asparagaceae"
"18610" "KeF_cgf" "Cyperaceae"
"18620" "hn8_8WS" "Brassicaceae"
"18621" "KeF_xkp" "Cyperaceae"
"18622" "P9L_2Pi" "Asteraceae"
"18625" "KeF_Z21" "Cyperaceae"
"18688" "rxo_e0J" "Brassicaceae"
"19381" "aGs_e0J" "Saxifragaceae"
"19789" "sN2_1R1" "Apiaceae"
"19791" "LOw_m2M" "Brassicaceae"
"19796" "SVB_tFP" "Poaceae"
"19798" "cEV_tFP" "Poaceae"
"20133" "trO_yc1" "Rosaceae"
"20600" "Ogg_9ZS" "Campanulaceae"
"20602" "AcV_xQ8" "Orchidaceae"
"20604" "Gg2_vQF" "Tofieldiaceae"
"20606" "uCt_SoU" "Sapindaceae"
"22254" "3PS_SoU" "Apiaceae"
"22260" "flW_SoU" "Brassicaceae"
"22362" "dUw_SoU" "Fabaceae"
"22398" "bEG_eEo" "Juncaceae"
"22413" "UNR_eEo" "Asteraceae"
"22465" "AUQ_XIC" "Asteraceae"
"22467" "XXi_RnA" "Asteraceae"
"22471" "P3K_RnA" "Asteraceae"
"22496" "IVb_VXy" "Poaceae"
"22503" "KeF_VXy" "Cyperaceae"
"22504" "8dL_VXy" "Poaceae"
"22587" "JHm_YqL" "Rosaceae"
"22597" "QVf_YqL" "Poaceae"
"22611" "gNl_YqL" "Violaceae"
"23095" "A3e_9AE" "Poaceae"
"23509" "SNz_hKh" "Asteraceae"
"23626" "QVf_fBB" "Poaceae"
"23652" "f5U_fBB" "Asteraceae"
"23824" "JCv_Xsl" "Poaceae"
"23825" "SPo_IA4" "Salicaceae"
"23891" "NrL_XFv" "Caprifoliaceae"
"23892" "vK9_j9g" "Lamiaceae"
"23897" "nj3_NIl" "Amaryllidaceae"
"24272" "m6n_wt7" "Solanaceae"
"24273" "8PD_wt7" "Euphorbiaceae"
"24367" "e2a_Wea" "Apiaceae"
"24378" "woJ_N1f" "Ranunculaceae"
"24398" "gnV_sa4" "Betulaceae"
"24404" "fuI_guf" "Caryophyllaceae"
"24410" "Ots_WrX" "Apiaceae"
"24414" "mAy_a38" "Orobanchaceae"
"24416" "KeF_gYc" "Cyperaceae"
"24428" "jMQ_rr3" "Fabaceae"
"24454" "woJ_7Ha" "Ranunculaceae"
"24460" "Nn3_ROM" "Lamiaceae"
"24464" "VCE_k23" "Plantaginaceae"
"24465" "vED_RNx" "Rhamnaceae"
"24646" "3OU_56d" "Linaceae"
"24648" "KAc_5H8" "Papaveraceae"
"25227" "cYK_D58" "Rosaceae"
"25231" "cYK_4t8" "Rosaceae"
"25232" "eJL_JhQ" "Apiaceae"
"25235" "zKw_1sv" "Asteraceae"
"25237" "Bpf_4gB" "Fagaceae"
"25433" "DX8_Zys" "Apiaceae"
"25449" "Ogg_RQI" "Campanulaceae"
"25450" "zUU_q9a" "Poaceae"
"26161" "KeF_q9a" "Cyperaceae"
"26368" "B0s_bWu" "Scrophulariaceae"
"26371" "Poe_bWu" "Poaceae"
"26441" "Ijh_tCc" "Polygalaceae"
"26449" "VCE_Dsg" "Plantaginaceae"
"26450" "wlv_Dsg" "Lamiaceae"
"27096" "mxQ_SpM" "Rosaceae"
"27097" "dHx_2mO" "Brassicaceae"
"27102" "eXK_XY6" "Fabaceae"
"27103" "KzW_Auz" "Geraniaceae"
"27104" "2yk_MEu" "Gentianaceae"
"27115" "smn_MEu" "Poaceae"
"27116" "46J_CiK" "Onagraceae"
"27122" "SPo_INu" "Salicaceae"
"27138" "uij_TKz" "Papaveraceae"
"27144" "7N5_rgI" "Aristolochiaceae"
"27146" "6OP_CUS" "Anacardiaceae"
"27161" "P4W_okL" "Asteraceae"
"27162" "gNl_okL" "Violaceae"
"27169" "46J_cpE" "Onagraceae"
"27178" "ycf_rfo" "Asteraceae"
"27182" "fuI_rfo" "Caryophyllaceae"
"27185" "XNf_y28" "Lamiaceae"
"27189" "8LP_BUJ" "Rosaceae"
"27190" "73v_BUJ" "Asteraceae"
"27191" "0bu_BUJ" "Dioscoreaceae"
"27565" "gef_WND" "Poaceae"
"27568" "0oA_qQz" "Asparagaceae"
"27570" "52L_qQz" "Fabaceae"
"27581" "wK1_qQz" "Polygalaceae"
"27589" "Poe_4WT" "Poaceae"
"27596" "8Nd_SdR" "Juncaceae"
"27598" "8DE_SdR" "Polygonaceae"
"27604" "TbU_fAn" "Polygonaceae"
"27631" "IHl_Wjx" "Asteraceae"
"27646" "IZu_6pR" "Malvaceae"
"29335" "6Kp_yof" "Boraginaceae"
"29496" "DWG_89T" "Oxalidaceae"
"29499" "bvE_5T7" "Fabaceae"
"29504" "D8T_FO6" "Caryophyllaceae"
"29520" "AmW_P1a" "Fabaceae"
"29528" "JHm_U8b" "Rosaceae"
"29540" "qkX_UgH" "Asteraceae"
"29774" "jMQ_qXa" "Fabaceae"
"29789" "dHx_1ZV" "Brassicaceae"
"29790" "ycf_xaA" "Asteraceae"
"29793" "8DE_xaA" "Polygonaceae"
"29806" "O8B_iKb" "Orobanchaceae"
"29824" "2ho_ISu" "Poaceae"
"29825" "P4W_VpR" "Asteraceae"
"29827" "bQY_uwU" "Poaceae"
"29836" "kCi_p1w" "Araceae"
"29844" "QM7_Tis" "Asteraceae"
"29846" "Pfk_yDD" "Rubiaceae"
"29851" "tVj_kxD" "Apiaceae"
"29857" "8PD_P03" "Euphorbiaceae"
"30048" "xzb_9Gl" "Orchidaceae"
"30134" "Tv2_h7e" "Poaceae"
"30142" "I8G_6m3" "Poaceae"
"30153" "8yK_6m3" "Boraginaceae"
"30154" "ycf_xdA" "Asteraceae"
"30177" "81w_oMc" "Ranunculaceae"
"30178" "KeF_gml" "Cyperaceae"
"30181" "AZj_JW4" "Rosaceae"
"30183" "KeF_5Ot" "Cyperaceae"
"30673" "VCE_kxM" "Plantaginaceae"
"30674" "NvW_4A9" "Urticaceae"
"30687" "D8T_4A9" "Caryophyllaceae"
"30777" "VsB_4A9" "Caprifoliaceae"
"30945" "Mjv_4A9" "Asteraceae"
"31915" "XbG_Kg9" "Rosaceae"
"31930" "rCB_YtG" "Caprifoliaceae"
"31965" "P4W_a2O" "Asteraceae"
"31972" "AZj_4fA" "Rosaceae"
"31977" "bEG_2dA" "Juncaceae"
"31979" "KeF_zJ0" "Cyperaceae"
"32001" "mxQ_Lq0" "Rosaceae"
"32003" "cYK_Lq0" "Rosaceae"
"32039" "U5L_Lq0" "Rosaceae"
"32044" "bvE_U6P" "Fabaceae"
"32046" "flW_IcC" "Brassicaceae"
"32047" "rCB_tJX" "Caprifoliaceae"
"32060" "TbU_Xmn" "Poaceae"
"32082" "QKr_V8K" "Polygonaceae"
"32101" "SRY_pzD" "Solanaceae"
"32195" "8PD_wUU" "Euphorbiaceae"
"32270" "JHm_f0q" "Rosaceae"
"32271" "TbU_KIp" "Polygonaceae"
"32286" "p7f_KIp" "Ranunculaceae"
"32289" "jMQ_KIp" "Fabaceae"
"32643" "6Rd_WR3" "Adoxaceae"
"32648" "KeF_0r6" "Cyperaceae"
"32654" "90i_JYL" "Poaceae"
"33876" "8Nd_b1e" "Juncaceae"
"34149" "KeF_4wC" "Cyperaceae"
"34169" "YQS_VM0" "Primulaceae"
"34491" "gNl_VM0" "Violaceae"
"34659" "uhE_CgX" "Poaceae"
"34731" "SPo_tci" "Salicaceae"
"34734" "KeF_azW" "Cyperaceae"
"34808" "LKT_BFG" "Rubiaceae"
"34823" "52L_emi" "Fabaceae"
"34840" "rxo_VnR" "Brassicaceae"
"35074" "IHl_ECH" "Asteraceae"
"35080" "IVb_2KL" "Poaceae"
"35308" "aZ4_nTA" "Apiaceae"
"35322" "8PD_4Hn" "Euphorbiaceae"
"35338" "8Fi_nTs" "Rosaceae"
"35352" "haT_nTs" "Apiaceae"
"35404" "a1Z_mui" "Typhaceae"
"35408" "gef_J76" "Poaceae"
"35412" "yzA_RTy" "Asteraceae"
"35413" "yzA_8kR" "Asteraceae"
"35473" "hGq_m9q" "Asteraceae"
"35475" "qMO_Dge" "Gentianaceae"
"35478" "8PD_V5n" "Euphorbiaceae"
"35483" "Gjk_LKm" "Rosaceae"
"35506" "aZ4_WYF" "Apiaceae"
"35524" "FBT_WYF" "Primulaceae"
"35546" "IZu_WYF" "Malvaceae"
"36034" "wiA_nOu" "Aristolochiaceae"
"37298" "MiU_d3f" "Celastraceae"
"37299" "iMm_d3f" "Lamiaceae"
"37302" "RUg_d3f" "Poaceae"
"37834" "Gg8_d3f" "Loranthaceae"
"39244" "SPo_CGJ" "Salicaceae"
"39247" "VsB_7g1" "Caprifoliaceae"
"39288" "LGA_Cfx" "Oleaceae"
"44909" "jMQ_KTA" "Fabaceae"
"44911" "0ul_Hdx" "Fabaceae"
"44918" "vnl_m4E" "Apiaceae"
"44970" "wLW_3KW" "Asteraceae"
"44984" "KeF_zeI" "Cyperaceae"
"44990" "woJ_aFs" "Ranunculaceae"
"45710" "2dv_Mry" "Boraginaceae"
"45720" "TbU_iHd" "Poaceae"
"45722" "KeF_iHd" "Cyperaceae"
"45729" "KeF_HOY" "Cyperaceae"
"45914" "woJ_Qsp" "Ranunculaceae"
"45916" "KeF_F3Q" "Cyperaceae"
"45919" "mAy_F3Q" "Orobanchaceae"
"45921" "vuF_vUZ" "Poaceae"
"45922" "2di_O3d" "Ranunculaceae"
"45923" "7F8_5Uk" "Poaceae"
"45924" "rxo_5Uk" "Brassicaceae"
"46539" "D8T_3Th" "Caryophyllaceae"
"46546" "Tv2_okP" "Poaceae"
"46566" "TrA_TnK" "Asteraceae"
"46862" "p7f_n1X" "Ranunculaceae"
"46871" "iKd_vrG" "Caryophyllaceae"
"46891" "bEG_cVK" "Juncaceae"
"46918" "Bpf_JQM" "Fagaceae"
"46920" "KeF_pRO" "Cyperaceae"
"46939" "zKw_UaU" "Asteraceae"
"46956" "cYK_AMh" "Rosaceae"
"46961" "4AT_Wm5" "Orchidaceae"
"46975" "rRF_Cyx" "Lamiaceae"
"49624" "XNf_yYZ" "Lamiaceae"
"49680" "JHm_alh" "Rosaceae"
"49685" "x6l_fsP" "Lamiaceae"
"49762" "Zzb_CF9" "Poaceae"
"49763" "jrZ_VAK" "Plantaginaceae"
"49772" "Kxo_kzG" "Rosaceae"
"49777" "jbt_tU1" "Rosaceae"
"49778" "4Vo_tU1" "Fabaceae"
"49781" "beL_tU1" "Lamiaceae"
"49801" "gwf_tU1" "Asteraceae"
"49809" "P9L_tU1" "Asteraceae"
"49822" "2Wm_9bt" "Boraginaceae"
"49826" "P3K_EtL" "Asteraceae"
"49852" "QVf_EtL" "Poaceae"
"49898" "fuI_spY" "Caryophyllaceae"
"49900" "kcA_Dls" "Poaceae"
"50331" "JmG_Kpo" "Ulmaceae"
"50413" "hn8_Kpo" "Brassicaceae"
"50673" "o1z_Kpo" "Rubiaceae"
"52529" "98v_OZb" "Balsaminaceae"
"52561" "rxo_DSJ" "Brassicaceae"
"52676" "LKT_RTN" "Rubiaceae"
"52697" "36N_2Cq" "Poaceae"
"52837" "Ogg_2Cq" "Campanulaceae"
"53671" "hA3_yrk" "Betulaceae"
"53682" "2B3_yrk" "Lamiaceae"
"54542" "eXK_qXX" "Fabaceae"
"54767" "emD_hgd" "Plumbaginaceae"
"54768" "mGl_FOs" "Iridaceae"
"54772" "vby_FOs" "Caryophyllaceae"
"54773" "CMV_FOs" "Lamiaceae"
"54789" "Vg6_6b6" "Plantaginaceae"
"54901" "IAO_VGd" "Lamiaceae"
"54925" "aGs_HHb" "Saxifragaceae"
"54927" "3mP_14I" "Asparagaceae"
"54928" "h41_Fn6" "Brassicaceae"
"54935" "KeF_dvu" "Cyperaceae"
"54952" "KeF_3z7" "Cyperaceae"
"54954" "l1W_Zcn" "Lamiaceae"
"55573" "VCE_kvU" "Plantaginaceae"
"55626" "mYW_T1V" "Araliaceae"
"57012" "IBs_3fn" "Orchidaceae"
"57149" "8Fi_tSm" "Rosaceae"
"57151" "rxo_tSm" "Brassicaceae"
"57165" "R9a_u2a" "Apocynaceae"
"57176" "FE1_u2a" "Ericaceae"
"57180" "TbU_j44" "Poaceae"
"57434" "Mtz_Yj0" "Asteraceae"
"57452" "6p4_v5w" "Asteraceae"
"57454" "hTU_DaE" "Sapindaceae"
"57465" "l1W_Iar" "Lamiaceae"
"57481" "D1r_Iar" "Brassicaceae"
"57492" "jMQ_Iar" "Fabaceae"
"57622" "Ntd_yHW" "Hypericaceae"
