"plotID" "study" "latitude" "longitude" "plot_size" "year_baseline" "year_final" "time_resurvey" "sr_all_bl" "herb_cover" "dif_tree_cover" "soil_ph" "bl_prec_avg" "bl_tmx_avg" "bl_tmn_avg" "dif_prec_avg" "dif_tmx_avg" "dif_tmn_avg" "n_dep" "herb_dif_pd" "herb_lost_pd" "herb_gain_pd" "herb_lost_mpd_ses" "herb_lost_mntd_ses" "herb_gain_mpd_ses" "herb_gain_mntd_ses" "herb_dpw_ses" "herb_dnn_ses"
"597" "EU_021_1" "EU_021" 52.24995 5.68112777777778 100 1958 1987 29 12 0.910274017385752 0.10924416 381.555419921875 766.150013542175 21.0966672897339 0.229999994983276 34.3099997520446 -0.456666946411133 -0.839999989668528 533.186197998047 -380.553903 380.553903 0 -0.426923446258442 0.184777780955562 NA NA NA NA
"598" "EU_021_10" "EU_021" 52.2510666666667 5.68295833333333 100 1958 1987 29 5 0.0588080000000001 -0.0132 387.915496826172 766.150013542175 21.0966672897339 0.229999994983276 34.3099997520446 -0.456666946411133 -0.839999989668528 533.186197998047 86.375567 123.734237 210.109804 NA NA -0.834275865982237 -0.834275865982237 0.197384126218892 0.428369715777023
"599" "EU_021_11" "EU_021" 52.2513027777778 5.68247222222222 100 1958 1987 29 2 0.02 0 387.915496826172 766.150013542175 21.0966672897339 0.229999994983276 34.3099997520446 -0.456666946411133 -0.839999989668528 533.186197998047 713.623534 0 713.623534 NA NA 0.28032000192485 0.767917482497363 NA NA
"600" "EU_021_12" "EU_021" 52.252125 5.68241666666667 100 1958 1987 29 3 0.02 -0.1608 387.915496826172 766.150013542175 21.0966672897339 0.229999994983276 34.3099997520446 -0.456666946411133 -0.839999989668528 533.186197998047 770.32552 0 770.32552 NA NA 0.141672605194713 0.917413155919278 NA NA
"601" "EU_021_13" "EU_021" 52.2526166666667 5.68249444444444 100 1958 1987 29 6 0.18116296 -0.158016 387.915496826172 766.150013542175 21.0966672897339 0.229999994983276 34.3099997520446 -0.456666946411133 -0.839999989668528 533.186197998047 237.923324 7.27759800000001 245.200922 NA NA 0.466268767394451 0.320527086117924 0.488727781391509 0.547114926376542
"602" "EU_021_14" "EU_021" 52.2527138888889 5.68338611111111 100 1958 1987 29 11 0.73047827444609 0.0456 387.915496826172 766.150013542175 21.0966672897339 0.229999994983276 34.3099997520446 -0.456666946411133 -0.839999989668528 533.186197998047 -43.7509 137.572407 93.821507 -1.50662499929732 -1.97306018060921 NA NA 1.19251150792096 1.19251150792096
"603" "EU_021_15" "EU_021" 52.2517694444444 5.679625 100 1958 1987 29 8 0.903704764096 0.174 387.915496826172 766.150013542175 21.0966672897339 0.229999994983276 34.3099997520446 -0.456666946411133 -0.839999989668528 533.186197998047 64.721268 152.572136 217.293404 0.127701504939278 0.127701504939278 0.639318079202395 0.639318079202395 0.52961491556721 0.314106751173562
"604" "EU_021_16" "EU_021" 52.2519611111111 5.67915 100 1958 1987 29 7 0.7673834368 -0.0438080000000001 387.915496826172 766.150013542175 21.0966672897339 0.229999994983276 34.3099997520446 -0.456666946411133 -0.839999989668528 533.186197998047 192.294887 0 192.294887 NA NA 0.0671970894576667 -0.233062326163957 NA NA
"608" "EU_021_2" "EU_021" 52.2473305555556 5.68881666666667 100 1958 1987 29 4 0.0396000000000001 -0.155232 381.555419921875 766.150013542175 21.0966672897339 0.229999994983276 34.3099997520446 -0.456666946411133 -0.839999989668528 533.186197998047 460.38445 94.56118 554.94563 NA NA 1.04088488520283 1.11448919658791 -0.0983413828549405 -0.0766385336460487
"617" "EU_021_3" "EU_021" 52.2472722222222 5.68946666666667 100 1958 1987 29 8 0.213670790488 -0.330212 381.555419921875 766.150013542175 21.0966672897339 0.229999994983276 34.3099997520446 -0.456666946411133 -0.839999989668528 533.186197998047 -139.193205 233.754384 94.5611789999999 -0.845440528302927 -0.299444404232662 NA NA -1.24208772819071 -1.24208772819071
