"scientificName" "species_id" "family2"
"5789" "Erigeron annuus" "XXi_wG6" "Asteraceae"
"5804" "Argentina anserina" "1NN_Z0u" "Rosaceae"
"5805" "Aconitum anthora" "81w_VAK" "Ranunculaceae"
"5807" "Galium aparine" "LKT_X6N" "Rubiaceae"
"6427" "Epipogium aphyllum" "oLr_4fA" "Orchidaceae"
"6428" "Stellaria aquatica" "vby_2Cq" "Caryophyllaceae"
"6430" "Mentha aquatica" "AIB_2Cq" "Lamiaceae"
"6487" "Oenanthe aquatica" "plG_2Cq" "Apiaceae"
"6503" "Ilex aquifolium" "4hh_ACD" "Aquifoliaceae"
"6616" "Berberis aquifolium" "cIS_ACD" "Berberidaceae"
"6697" "Thalictrum aquilegiifolium" "2di_jcd" "Ranunculaceae"
"6705" "Colutea arborescens" "toi_FO6" "Fabaceae"
"6716" "Carex arenaria" "KeF_PRJ" "Cyperaceae"
"6721" "Arabidopsis arenosa" "h41_9bt" "Brassicaceae"
"6752" "Potentilla argentea" "8Fi_kue" "Rosaceae"
"6761" "Sorbus aria" "mxQ_KZ3" "Rosaceae"
"6852" "Rumex arifolius" "8DE_NZb" "Polygonaceae"
"6869" "Dianthus armeria" "fuI_Zdx" "Caryophyllaceae"
"6873" "Chaerophyllum aromaticum" "sN2_oaX" "Apiaceae"
"6910" "Juncus articulatus" "8Nd_ISu" "Juncaceae"
"6911" "Calamagrostis arundinacea" "IVb_zxd" "Poaceae"
"6914" "Phalaris arundinacea" "GQM_zxd" "Poaceae"
"6964" "Molinia arundinacea" "SVB_zxd" "Poaceae"
"7479" "Cerastium arvense" "iKd_9Gl" "Caryophyllaceae"
"7481" "Cirsium arvense" "yzA_9Gl" "Asteraceae"
"7531" "Trifolium arvense" "dUw_9Gl" "Fabaceae"
"7555" "Rosa arvensis" "JHm_DqS" "Rosaceae"
"7556" "Knautia arvensis" "rCB_DqS" "Caprifoliaceae"
"7557" "Viola arvensis" "gNl_DqS" "Violaceae"
"7565" "Myosotis arvensis" "8yK_DqS" "Boraginaceae"
"7570" "Mentha arvensis" "AIB_DqS" "Lamiaceae"
"7577" "Convolvulus arvensis" "xiO_DqS" "Convolvulaceae"
"7597" "Filago arvensis" "gwf_DqS" "Asteraceae"
"7604" "Sonchus arvensis" "kyy_DqS" "Asteraceae"
"7671" "Gentiana asclepiadea" "v8E_oy2" "Gentianaceae"
"7729" "Sonchus asper" "kyy_6Hm" "Asteraceae"
"7737" "Aquilegia atrata" "rMJ_FT0" "Ranunculaceae"
"7738" "Epipactis atrorubens" "IBs_5H8" "Orchidaceae"
"7793" "Sorbus aucuparia" "mxQ_KCh" "Rosaceae"
"9129" "Betula aurata" "iOK_BFG" "Betulaceae"
"9136" "Chaerophyllum aureum" "sN2_NIl" "Apiaceae"
"9420" "Trifolium aureum" "dUw_NIl" "Fabaceae"
