"Node" "SR_all" "SR_mis" "Obs" "Mean_Exp" "SD_Exp" "P_value"
"1" 1118 1117 1117 -0.0665810295591896 -0.0665810295591896 0 0
"2" 1119 1115 1115 -0.0656627102197394 -0.0665928752775928 0.000835112915020129 0.299299299299299
"3" 1120 857 857 -0.067218197429946 -0.0665646384023146 0.0107110329859468 0.93993993993994
"4" 1121 804 804 -0.0588743470062343 -0.0668336299847991 0.0119808684717454 0.500500500500501
"5" 1122 492 492 -0.101516902456788 -0.0662686593578701 0.0222431558655638 0.117117117117117
"6" 1123 427 427 -0.139954908044446 -0.066703704459374 0.025020319159321 0.004004004004004
"7" 1124 425 425 -0.1407821725637 -0.0666630523205696 0.0251287338121567 0.002002002002002
"8" 1125 396 396 -0.131136124185363 -0.0667467199774497 0.0267906175794851 0.014014014014014
"9" 1126 226 226 -0.154841270494257 -0.0658019744496507 0.039715773800871 0.027027027027027
"10" 1127 225 225 -0.158585009474232 -0.0657498485819798 0.0398257970923226 0.02002002002002
"11" 1128 154 154 -0.12523309274289 -0.066239528897731 0.0487599359841764 0.239239239239239
"12" 1129 140 140 -0.089802963762138 -0.0667768837242965 0.052261329229138 0.651651651651652
"13" 1130 139 139 -0.0904490282496355 -0.0668113523155888 0.0524637716608682 0.656656656656657
"14" 1131 138 138 -0.0874812675847777 -0.0669563445071673 0.0526590589721937 0.691691691691692
"15" 1132 111 111 -0.0999290159758981 -0.0673477621354082 0.0585496224242172 0.577577577577578
"16" 1133 70 70 0.00318984708575844 -0.0673043632547143 0.0764935898092253 0.37037037037037
"17" 1134 20 20 -0.0971401515151516 -0.0661569197275587 0.145834552495934 0.815815815815816
"18" 1135 11 11 0.154924242424242 -0.0693580563910582 0.194522533063461 0.248248248248248
"19" 1136 7 7 0.338690476190476 -0.0628151186317505 0.24677739658447 0.109109109109109
"20" 1137 3 3 -0.355555555555556 -0.0623055581344696 0.369733198174345 0.445445445445445
"21" 1138 2 2 -0.5 -0.0573066428138878 0.45120979046616 0.352352352352352
"22" 1139 4 4 0.859375 -0.0631972890047112 0.31935901323699 0.004004004004004
"23" 1140 3 3 0.8125 -0.0651922511480887 0.367690153568402 0.013013013013013
"24" 1141 2 2 1 -0.0642955723693269 0.432834500498867 0
"25" 1142 4 4 -0.166666666666667 -0.0808081974698467 0.33195124155812 0.796796796796797
"26" 1143 3 3 0.111111111111111 -0.0871673359196828 0.378947613687434 0.61961961961962
"27" 1144 2 2 0.666666666666667 -0.0775396158442822 0.449739662797956 0.0920920920920921
"28" 1145 9 9 -0.405218855218855 -0.0622444193610593 0.216360967954988 0.107107107107107
"29" 1146 8 8 -0.505871212121212 -0.065337508027738 0.226414443074044 0.0500500500500501
"30" 1147 6 6 -0.407828282828283 -0.0639253515243603 0.260377210160361 0.174174174174174
"31" 1148 4 4 -0.361742424242425 -0.0589311474277431 0.311949494370235 0.334334334334334
"32" 1149 3 3 -0.593434343434344 -0.0490407043349459 0.358048997321414 0.135135135135135
"33" 1150 2 2 -0.708333333333333 -0.0580938065728122 0.443685438880074 0.131131131131131
"34" 1151 2 2 -0.8 -0.0695739775378711 0.457626958212138 0.114114114114114
"35" 1152 50 50 0.0433218465261224 -0.0677633406655765 0.0892406037188087 0.225225225225225
"36" 1153 33 33 0.00404024435317097 -0.0647567830728631 0.107265617316088 0.531531531531532
"37" 1154 12 12 0.282743658210948 -0.06653848996739 0.17886257371199 0.0560560560560561
"38" 1155 11 11 0.217538536230125 -0.0658654179036366 0.188540988809623 0.131131131131131
"39" 1156 7 7 0.327560556933054 -0.0734580174687008 0.235248382327809 0.0960960960960961
"40" 1157 4 4 -0.176769025367156 -0.0758128316289129 0.310060293474944 0.741741741741742
"41" 1158 3 3 -0.035692033822875 -0.0782487801032781 0.369256227781071 0.898898898898899
"42" 1159 2 2 0.135714285714286 -0.079204384093162 0.444566953974526 0.635635635635636
"43" 1160 3 3 1 -0.0703182652550847 0.36779110635478 0
"44" 1161 2 2 1 -0.0590856185744627 0.443253803334045 0
"45" 1162 4 4 0.025 -0.0525783686647743 0.324602224871892 0.816816816816817
"46" 1163 2 2 0 -0.0452550965297619 0.437718668215104 0.873873873873874
"47" 1164 2 2 0.05 -0.0599016407997867 0.470192808951149 0.796796796796797
"48" 1165 21 21 -0.155218849279844 -0.0637386648474192 0.137447795474851 0.520520520520521
"49" 1166 19 19 -0.103888502587497 -0.0649064604096011 0.145324002167993 0.781781781781782
"50" 1167 4 4 0.25 -0.0758437032313084 0.325887612227056 0.329329329329329
"51" 1168 2 2 -0.5 -0.0853946394435376 0.448210631477981 0.378378378378378
"52" 1169 2 2 1 -0.0662927670190791 0.461293596757424 0
"53" 1170 15 15 -0.198258769944163 -0.0619898623238125 0.163301101519362 0.41041041041041
"54" 1171 12 12 -0.261712351319093 -0.0599549399056766 0.186391200032217 0.287287287287287
"55" 1172 8 8 -0.507142857142857 -0.06542301401663 0.227228492172148 0.045045045045045
"56" 1173 6 6 -0.342857142857143 -0.0618831171703013 0.266253852810502 0.298298298298298
"57" 1174 5 5 -0.371428571428571 -0.0566043013658169 0.292297108737188 0.282282282282282
"58" 1175 4 4 -0.214285714285714 -0.055926573568666 0.323600619479143 0.628628628628629
"59" 1176 3 3 -0.119047619047619 -0.050205466882498 0.369551192768657 0.836836836836837
"60" 1177 2 2 -0.107142857142857 -0.0580530558156189 0.453006582447847 0.938938938938939
"61" 1178 4 4 0.229148660328436 -0.0490187916837698 0.319174788949953 0.378378378378378
"62" 1179 3 3 -0.0278017862287523 -0.0489489807575728 0.366294810887754 0.94994994994995
"63" 1180 3 3 0.0555555555555557 -0.0701295519963561 0.388739234340585 0.744744744744745
"64" 1181 2 2 -0.642857142857143 -0.052644607006691 0.471052786596771 0.203203203203203
"65" 1182 17 17 0.119574368391264 -0.0735995995220202 0.161155130151573 0.234234234234234
"66" 1183 13 13 0.242183067559007 -0.0750426508147169 0.187866069351576 0.0850850850850851
