"species" "uvalue"
"177" "A3e_OnP" 0.2
"178" "a6q_6ks" 0.333333333333333
"179" "a6q_8IA" 0.127659574468085
"180" "a6q_L5N" -0.2
"181" "a6q_uxE" -1
"182" "A9c_ch9" -1
"183" "AcV_lGF" -1
"184" "aGs_1ZV" -1
"185" "aGs_lGF" -1
"186" "aGs_Pp9" -1
"187" "AIB_2Cq" -0.119047619047619
"188" "AIB_DqS" 0.285714285714286
"189" "AIB_gQF" 1
"190" "AIB_lGF" 0
"191" "aK0_K8r" 0.166666666666667
"192" "aK0_xcD" -1
"193" "akr_tFP" 1
"194" "AkS_ero" 1
"195" "AkS_ild" -1
"196" "AkS_lGF" -1
"197" "AkS_q9a" -0.170918367346939
"198" "AkS_qsl" 0.466666666666667
"199" "AkS_uwU" 1
"200" "AmW_U6P" 1
"201" "Ao4_cLX" -0.1
"202" "Ao4_GIT" 0.459016393442623
"203" "Ao4_J2t" 0.15625
"204" "Ao4_Nn0" -0.583333333333333
"205" "Ao4_r9Y" -0.375
"206" "AUQ_IFi" -1
"207" "AUQ_lGF" -0.010989010989011
"208" "aZ4_Dsg" -0.252365930599369
"209" "aZ4_FBW" -0.333333333333333
"210" "AZj_Mz2" 1
"211" "B0s_1R1" -0.833333333333333
"212" "B0s_4wC" 0
"213" "B0s_5Uk" -0.487179487179487
"214" "B0s_cLX" 0.285714285714286
"215" "B0s_IcC" 1
"216" "B0s_lGF" -0.5
"217" "B0s_Yj0" 1
"218" "B0s_ZXx" -1
"219" "BD3_7aC" 0
"220" "Bds_guf" -1
"221" "Bds_lGF" -1
"222" "Bds_pMZ" -0.5
"223" "Bds_pRO" -1
"224" "bEG_2MN" -0.0952380952380952
"225" "bEG_hKh" 0.111111111111111
"226" "bEG_n2o" -1
"227" "bEG_Plx" -1
"228" "bEG_SoU" -0.252525252525253
"229" "bEG_sPg" -0.312056737588652
"230" "bEG_URG" 0.0350877192982456
"231" "bEG_Vw3" -0.222222222222222
"232" "bEG_Wal" -1
"233" "beL_b1O" -0.295454545454545
"234" "beL_Cfx" 0.333333333333333
"235" "beL_dAb" -0.333333333333333
"236" "beL_Hv1" -0.285714285714286
"237" "beL_rCq" -0.5
"238" "beL_sxS" -0.426229508196721
"239" "beL_Vw3" -0.0684931506849315
"240" "BPa_xQ8" 0
"241" "Bpf_9oU" -1
"242" "Bpf_fAn" 0.155807365439093
"243" "Bpf_iv0" 0.130859375
"244" "Bpf_lGF" 0.702702702702703
"245" "Bpf_sz6" 0.676470588235294
"246" "Bpf_yHW" 0.34375
"247" "bQY_FDJ" 1
"248" "BTX_gk7" 1
"249" "BU0_OIN" 1
"250" "bvE_Eki" 0
"251" "bvE_P1a" -1
"252" "bVN_ero" -0.142857142857143
"253" "BWY_lGF" 1
"254" "bYW_0wi" 0.15702479338843
"255" "c3q_MlA" 1
"256" "C8m_gOO" 1
"257" "cEV_Nwg" -0.0731707317073171
"258" "cIE_lGF" 1
"259" "cIS_ACD" 1
"260" "cMa_5aw" -0.388888888888889
"261" "CMV_nTA" -1
"262" "CNT_cVK" -0.428571428571429
"263" "cYK_0vP" 0.266666666666667
"264" "cYK_2an" -1
"265" "cYK_Bxp" 1
"266" "cYK_eoS" 0.4
"267" "cYK_j44" 0.5
"268" "cYK_lGF" 0
"269" "cYK_O3d" 1
"270" "cYK_Oow" 1
"271" "cYK_YKX" 0.535580524344569
"272" "cYK_Z36" 0.974789915966387
"273" "D1r_Sth" -0.421052631578947
"274" "D1r_vR7" 1
"275" "D8T_1v7" -0.274509803921569
"276" "D8T_6m3" -1
"277" "D8T_dnu" -0.142857142857143
"278" "D8T_Eid" -0.333333333333333
"279" "D8T_ero" -0.5
"280" "D8T_f0q" 0.666666666666667
"281" "D8T_GEB" 0.166666666666667
"282" "D8T_Qsp" -0.388888888888889
"283" "D8T_RKZ" -0.442307692307692
"284" "D8T_ulX" 0.333333333333333
"285" "D8T_WR3" 0
"286" "D8T_X39" 0.125
"287" "D8T_Ytw" 1
"288" "De7_4gB" -0.315789473684211
"289" "De7_iEO" -0.0191082802547771
"290" "dHB_0Eh" -1
"291" "dHB_Re4" 0.2
"292" "dHB_tEX" -0.235294117647059
"293" "DHt_06V" 0.123620309050773
"294" "dHx_04l" 1
"295" "dHx_OEY" -0.769230769230769
"296" "dHx_Pv9" 1
"297" "di4_yc1" 0.142857142857143
"298" "dph_sxS" 1
"299" "DU0_Cfx" -0.5
"300" "dUw_9Gl" -1
"301" "dUw_Cyx" 0
"302" "dUw_dYl" 0.333333333333333
"303" "dUw_ECH" -1
"304" "dUw_eyN" -0.5
"305" "dUw_ikA" -0.413793103448276
"306" "dUw_lGF" 0
"307" "dUw_NIl" -1
"308" "dUw_OnP" 0.866666666666667
"309" "dUw_Z6e" -0.357142857142857
"310" "DWG_Kpo" -0.0821256038647343
"311" "DWG_mMc" -1
"312" "DWG_se1" 1
"313" "DX8_9B0" -0.666666666666667
"314" "DX8_aMV" -0.666666666666667
"315" "DX8_bau" -0.222222222222222
"316" "DX8_lGF" -1
"317" "DX8_V5n" -0.533333333333333
"318" "DX8_yc1" -0.133333333333333
"319" "e2a_uYZ" -0.272727272727273
"320" "E3d_bWu" -0.278260869565217
"321" "E3d_ero" -0.25
"322" "EEn_QG4" -0.1875
"323" "EEn_Rs4" -0.135593220338983
"324" "Eg0_NYS" 1
"325" "EIh_lGF" 1
"326" "eJL_bR0" -0.328767123287671
"327" "eJL_Hdx" 0.230769230769231
"328" "eJL_JiF" 0.333333333333333
"329" "eoQ_3cm" -1
"330" "evg_mMc" -1
"331" "eXK_7qa" -1
"332" "eXK_JhQ" -0.368131868131868
"333" "exx_Ar5" -0.34634974533107
"334" "exx_Du3" -0.181818181818182
"335" "exx_Wm5" 0.075
"336" "F1D_qyE" -1
"337" "f5U_47U" 1
"338" "f5U_BUJ" 0.0344827586206897
"339" "f5U_lGF" 1
"340" "f5U_qAa" -1
"341" "f7j_YzC" 1
"342" "FBT_866" -0.231578947368421
"343" "FBT_Dsg" 0.0344827586206897
"344" "FBT_ero" -0.0538922155688623
"345" "FBT_gxG" -0.0533333333333333
"346" "FBT_sM2" 0
"347" "FBT_UaU" 0.541666666666667
"348" "FE1_XIC" -1
"349" "fhq_OnP" -1
"350" "flW_eyN" -0.5
"351" "flW_xiu" -1
"352" "Fme_toG" -0.5
"353" "FP7_okP" 0
"354" "fPq_lGF" -1
"355" "fPq_yXo" -0.35
"356" "fuI_9lz" -1
"357" "fuI_lGF" -1
"358" "fuI_O6n" 0
"359" "fuI_s5s" -1
"360" "fuI_yHy" 0.333333333333333
"361" "fuI_Zdx" -0.5
"362" "gef_09O" 1
"363" "gef_2dA" 0
"364" "gef_3t1" 0
"365" "gef_9QR" 0
"366" "gef_A2E" 0.0301204819277108
"367" "gef_LKh" -0.3
"368" "gef_X3g" -1
"369" "GfL_8ZK" 1
"370" "GfL_MTf" -0.5
"371" "GfL_VnR" -0.333333333333333
"372" "Gg2_UWN" 1
"373" "Gg8_9B0" -1
"374" "Gjk_Pm6" 0.0434782608695652
"375" "GN0_Vw3" 0.21415270018622
"376" "gNl_4m7" -0.136363636363636
"377" "gNl_5rE" 0.25
"378" "gNl_AZT" -1
"379" "gNl_BIH" 0.0150753768844221
"380" "gNl_bJA" -0.25
"381" "gNl_c14" -0.857142857142857
"382" "gNl_Cfx" 0.25
"383" "gNl_DqS" 0
"384" "gNl_lGF" -0.223684210526316
"385" "gNl_nOu" -0.269767441860465
"386" "gNl_OBN" -0.0294372294372294
"387" "gNl_OLu" 0
"388" "gNl_Tjk" -0.5
"389" "gNl_Yb8" -1
"390" "gNl_zk4" 0.172413793103448
"391" "gnV_sa4" -0.457831325301205
"392" "GNZ_2Ix" -0.109090909090909
"393" "GNZ_RPZ" 0
"394" "GQM_zxd" -0.170731707317073
"395" "GSj_Cfx" 0.818181818181818
"396" "GTA_pCc" -0.0062111801242236
"397" "gwf_dAb" 0.333333333333333
"398" "gwf_DqS" 1
"399" "GWg_9oU" 0.625
"400" "Gzd_IA4" -0.174220963172805
"401" "h41_9bt" -0.125
"402" "h41_m9q" 0.166666666666667
"403" "hA3_xQq" -0.166666666666667
"404" "hA3_YqL" 0.185714285714286
"405" "Hap_dNH" 0.339285714285714
"406" "Hap_lGF" -0.465116279069767
"407" "Hap_ZDo" -0.0652173913043478
"408" "haT_xQY" -1
"409" "hGq_BUJ" 1
"410" "hGq_ero" -0.6
"411" "hGq_RDZ" 0
"412" "hGq_y4S" 1
"413" "hn8_OxF" 1
"414" "hn8_qf8" -1
"415" "hOV_lGF" 1
"416" "hrR_Cfx" -0.25
"417" "hrR_mmH" -1
"418" "hsK_lGF" -1
"419" "hTU_B4b" 1
"420" "HVQ_lGF" 1
"421" "HVQ_Xsl" -1
"422" "HZK_4h4" -1
"423" "HZK_rfo" -1
"424" "I8G_Hv1" -1
"425" "I8G_WrX" 0.1
"426" "IAO_3IT" 0
"427" "IAO_MTf" -0.382882882882883
"428" "IAO_n0h" -0.608695652173913
"429" "IAO_rr3" 0.333333333333333
"430" "IBs_5H8" -0.875
"431" "IBs_iWE" -0.205882352941176
"432" "IBs_ub3" -0.6
"433" "IHl_2KL" -1
"434" "IHl_BNJ" -0.6
"435" "IHp_8ZK" -1
"436" "Ijh_Py9" -0.75
"437" "iKd_9Gl" 0.285714285714286
"438" "iKd_lGF" -1
"439" "iKd_wTY" 0.473684210526316
"440" "iLY_vUZ" 0.191780821917808
"441" "iMm_D1k" 0.166666666666667
"442" "iOK_2ka" 0.21875
"443" "iOK_9oU" 0.206896551724138
"444" "iOK_lGF" 0.2
"445" "iry_5m1" -1
"446" "IVb_3qS" 0.340909090909091
"447" "IVb_DaP" 0
"448" "IVb_LK5" 1
"449" "IVb_okP" -0.114754098360656
"450" "IVb_qRd" 0.5625
"451" "IVb_zxd" 0.0238095238095238
"452" "IZu_Dsg" 0
"453" "IZu_emi" 0.474137931034483
"454" "IZu_lGF" 0
"455" "IZu_rjy" 0.398826979472141
"456" "jbt_0uq" 0
"457" "jbt_dAb" 1
"458" "jbt_DaE" 0.0514469453376206
"459" "jbt_lGF" 0.144404332129964
"460" "jbt_TJA" -0.0817610062893082
"461" "JCv_DSJ" 0
"462" "JCv_Mma" -1
"463" "jD2_Eid" -1
"464" "jgT_asB" -0.125
"465" "jgT_lGF" -1
"466" "jgT_NUO" -0.0023094688221709
"467" "jgT_OEY" 0.00628930817610063
"468" "jgT_XbU" 0.0558139534883721
"469" "JHm_5rE" 0.219827586206897
"470" "JHm_DqS" -0.21875
"471" "JHm_kLH" 0.714285714285714
"472" "JHm_lGF" 0.236842105263158
"473" "JHm_qQz" 1
"474" "JHm_Wjx" 1
"475" "JHn_y28" 0
"476" "Jhp_OEY" -0.35632183908046
"477" "jiB_USm" 0.375
"478" "JjI_89r" -0.384615384615385
"479" "jLw_Y7g" 0.087719298245614
"480" "JmG_fBB" 0.176470588235294
"481" "JmG_lGF" 0.5
"482" "JmG_qf8" 0.275862068965517
"483" "JmG_tFP" -0.103896103896104
"484" "jMQ_61q" -0.282051282051282
"485" "jMQ_7l7" 0.0769230769230769
"486" "jMQ_a69" -0.454212454212454
"487" "jMQ_gk7" 0.2
"488" "jMQ_j9g" -0.5
"489" "jMQ_lGF" -0.647058823529412
"490" "jMQ_mYr" -0.75
"491" "jMQ_o21" -0.333333333333333
"492" "jMQ_qXa" -0.476190476190476
"493" "jMQ_RnA" -0.153846153846154
"494" "jMQ_RTN" -0.210526315789474
"495" "jMQ_Sth" 1
"496" "jMQ_Vw3" -0.833333333333333
"497" "jMQ_YLz" -0.0769230769230769
"498" "jMQ_z5t" -1
"499" "JPz_ero" -0.583333333333333
"500" "jrZ_alh" -1
"501" "jrZ_ero" -0.0416666666666667
"502" "jrZ_OnP" 1
"503" "jrZ_sB5" 1
"504" "jrZ_XY6" -0.142857142857143
"505" "jSA_38A" -0.130522088353414
"506" "JTw_hG4" 0.4
"507" "JVv_Cfx" 0.0384615384615385
"508" "jzX_fb5" 1
"509" "k3i_xgs" 0.108695652173913
"510" "k6r_5P3" 0.0537261698440208
"511" "k6r_5T7" -0.392857142857143
"512" "k6r_8ZK" -0.333333333333333
"513" "k6r_gYc" 1
"514" "k6r_lGF" 1
"515" "k6r_RwY" -0.428571428571429
"516" "K7a_ero" 0.6
"517" "KAc_4Hn" -0.213197969543147
"518" "KAc_gOO" 1
"519" "KAc_jv2" -0.516129032258065
"520" "KAc_lGF" 1
"521" "KC7_bR0" 1
"522" "KC7_N7m" -0.333333333333333
"523" "kcA_dYl" -0.5
"524" "kcA_Mry" 1
"525" "kcA_yrk" -0.19047619047619
"526" "KcF_8GA" 0.962962962962963
"527" "kCi_A42" 0.0900562851782364
"528" "kCi_kxD" -0.25
"529" "kCz_vIM" -0.555555555555556
"530" "KeF_0Qm" 0.32
"531" "KeF_18f" 1
"532" "KeF_2ka" 0.694444444444444
"533" "KeF_2Qd" 0
"534" "KeF_2sv" -1
"535" "KeF_7FL" 0.211180124223602
"536" "KeF_b1N" 0.666666666666667
"537" "KeF_BIH" -0.0909090909090909
"538" "KeF_Bnp" 0
"539" "KeF_c0H" -0.214953271028037
"540" "KeF_CF9" 1
"541" "KeF_cgf" -0.571428571428571
"542" "KeF_cM5" 1
"543" "KeF_cOe" 1
"544" "KeF_cq7" 0.333333333333333
"545" "KeF_erO" 0.130434782608696
"546" "KeF_F3Q" -1
"547" "KeF_gml" 0.666666666666667
"548" "KeF_h7e" 0.333333333333333
"549" "KeF_i02" -0.0987261146496815
"550" "KeF_JYL" 0.333333333333333
"551" "KeF_KMO" -1
"552" "KeF_kqs" 0.666666666666667
"553" "KeF_L5N" -0.05
"554" "KeF_lGF" 0.409090909090909
"555" "KeF_m5S" -0.133333333333333
"556" "KeF_n2o" 0.385964912280702
"557" "KeF_N4H" 1
"558" "KeF_nCO" 0.294117647058824
"559" "KeF_NrX" 0.5
"560" "KeF_okL" 0.146739130434783
"561" "KeF_okP" 0.307692307692308
"562" "KeF_OZb" -0.345
"563" "KeF_pmw" 1
"564" "KeF_PRJ" -0.25
"565" "KeF_r3C" -0.0769230769230769
"566" "KeF_R4z" 0.652173913043478
"567" "KeF_rfU" -1
"568" "KeF_ROM" 0.0526315789473684
"569" "KeF_RpK" -0.142857142857143
"570" "KeF_rVu" 0.454545454545455
"571" "KeF_sPg" 0.00803212851405622
"572" "KeF_szv" 1
"573" "KeF_tU1" 0
