"num" "Var1" "Freq" "SR_all" "SR_mis" "Obs" "Mean_Exp" "SD_Exp" "P_value"
"1" 1122 "Lamiaceae" 53 492 492 -0.101516902456788 -0.0662686593578701 0.0222431558655638 0.117117117117117
"2" 1130 "Asteraceae" 139 139 139 -0.0904490282496355 -0.0668113523155888 0.0524637716608682 0.656656656656657
"3" 1251 "Campanulaceae" 14 14 14 -0.479534382550415 -0.0608659806320758 0.1681066082135 0.01001001001001
"4" 1263 "Apiaceae" 45 45 45 -0.257954154291183 -0.0665221287281451 0.0947906597116234 0.034034034034034
"5" 1304 "Araliaceae" 2 2 2 0.471945701357466 -0.0493826861298467 0.459526550181316 0.29029029029029
"6" 1306 "Caprifoliaceae" 18 18 18 -0.31813965971364 -0.0634057510263088 0.144287499658125 0.0860860860860861
"7" 1323 "Adoxaceae" 6 6 6 -0.000861905677201952 -0.0598772995325174 0.261596351996268 0.814814814814815
"8" 1377 "Orobanchaceae" 7 7 7 -0.561001126245029 -0.0636806703179976 0.249467746213925 0.045045045045045
"9" 1382 "Scrophulariaceae" 13 13 13 -0.13890973632167 -0.0662263916156591 0.168979989361024 0.661661661661662
"10" 1386 "Plantaginaceae" 30 30 30 -0.0626980780829976 -0.0672529876018415 0.117966334488935 0.971971971971972
"11" 1411 "Oleaceae" 4 4 4 0.436755858565845 -0.0548627352788145 0.311818765391747 0.12012012012012
"12" 1414 "Boraginaceae" 23 23 23 -0.139860525375946 -0.0682605132633372 0.132921060288707 0.586586586586587
"13" 1437 "Rubiaceae" 24 24 24 -0.24595029464806 -0.0664515524793675 0.131073100550571 0.173173173173173
"14" 1456 "Apocynaceae" 3 3 3 -0.144583627381793 -0.0667826400980126 0.357390890828891 0.836836836836837
"15" 1458 "Gentianaceae" 3 3 3 -0.173873873873874 -0.0848180384161397 0.36745136509705 0.794794794794795
"16" 1461 "Solanaceae" 7 7 7 0.414785949584903 -0.0670314736270822 0.245453232112752 0.049049049049049
"17" 1467 "Convolvulaceae" 3 3 3 0.338827838827839 -0.0725571955573399 0.370961251287817 0.264264264264264
"18" 1471 "Ericaceae" 15 15 15 -0.565318644870884 -0.0621332396701675 0.16716887094886 0.003003003003003
"19" 1485 "Primulaceae" 11 11 11 -0.0180390717916619 -0.0706642333948844 0.19605047149554 0.770770770770771
"20" 1495 "Balsaminaceae" 3 3 3 0.258563766867643 -0.0635969875919232 0.363094247197405 0.383383383383383
"21" 1497 "Cornaceae" 2 2 2 0.035838802296965 -0.0753422839552993 0.443213471394 0.765765765765766
"22" 1501 "Caryophyllaceae" 35 36 36 -0.106529622786556 -0.0660297030813184 0.10690818287149 0.702702702702703
"23" 1534 "Amaranthaceae" 6 6 6 0.946208112874779 -0.0680304968160473 0.251525283051666 0
"24" 1537 "Polygonaceae" 21 21 21 0.284392736633633 -0.0578909031669262 0.135575101650445 0.012012012012012
"25" 1553 "Fabaceae" 57 57 57 -0.363888175334547 -0.071686610048045 0.0853698095848406 0
"26" 1603 "Polygalaceae" 5 5 5 -0.383333333333333 -0.0570090603278526 0.29203067784884 0.279279279279279
"27" 1609 "Rosaceae" 67 67 67 0.180805387667306 -0.0669291485722919 0.0764484532523313 0.001001001001001
"28" 1666 "Urticaceae" 3 3 3 0.737937140327579 -0.0543185210658916 0.383907564221131 0.025025025025025
"29" 1668 "Ulmaceae" 4 4 4 0.212109138326177 -0.068415830349096 0.312221133870854 0.378378378378378
"30" 1670 "Rhamnaceae" 3 3 3 0.105088850543396 -0.059143908945937 0.363819277657866 0.684684684684685
"31" 1675 "Betulaceae" 8 8 8 0.266280017280754 -0.0679065979161232 0.224440240297069 0.142142142142142
"32" 1682 "Fagaceae" 8 8 8 0.262342841445414 -0.0670346489054803 0.215080825577104 0.119119119119119
"33" 1690 "Hypericaceae" 7 7 7 -0.29010234396789 -0.0606117847796536 0.23194040121097 0.325325325325325
"34" 1697 "Salicaceae" 10 10 10 -0.140567375886525 -0.0607966780456051 0.20302505370836 0.678678678678679
"35" 1702 "Violaceae" 15 15 15 -0.238593747022842 -0.0696100723056793 0.168361737818077 0.325325325325325
"36" 1713 "Euphorbiaceae" 13 13 13 -0.188764054593667 -0.0628722886245025 0.176767116198175 0.468468468468468
"37" 1725 "Oxalidaceae" 3 3 3 -0.0273752012882448 -0.0644522271677995 0.380934680046151 0.930930930930931
